Course Name,Cut-off ATAR,Duration,Award Type,Field of Education,Provider,Campus,Level
B Exercise and Movement Science / B Behavioural Science (Psychology),N/A,4 years,Bachelor's Pass,"Human Movement, Psychology",Queensland University of Technology,KELVIN GROVE QLD,Undergraduate
B Exercise and Movement Science/B Health Science (Nutrition & Dietetics),N/A,5.4 years,Bachelor's Pass,"Human Movement, Nutrition & Dietetics",Queensland University of Technology,KELVIN GROVE QLD,Undergraduate
B Exercise and Sport Sciences,90.20,4 years,Bachelor's Pass,Human Movement,The University of Queensland,STLUCIA QLD,Undergraduate
B Financial Planning,53.70,3 years,Bachelor's Pass,"Banking, Finance & Related Fields n.e.c.",Central Queensland University,Brisbane QLD,Undergraduate
B Financial Planning,53.70,3 years,Bachelor's Pass,"Banking, Finance & Related Fields n.e.c.",Central Queensland University,Bundaberg QLD,Undergraduate
B Financial Planning,53.70,3 years,Bachelor's Pass,"Banking, Finance & Related Fields n.e.c.",Central Queensland University,Gladstone QLD,Undergraduate
B Financial Planning,53.70,3 years,Bachelor's Pass,"Banking, Finance & Related Fields n.e.c.",Central Queensland University,Mackay QLD,Undergraduate
B Financial Planning,53.70,3 years,Bachelor's Pass,"Banking, Finance & Related Fields n.e.c.",Central Queensland University,Melbourne VIC,Undergraduate
B Financial Planning,53.70,3 years,Bachelor's Pass,"Banking, Finance & Related Fields n.e.c.",Central Queensland University,Rockhampton QLD,Undergraduate
B Financial Planning,53.70,3 years,Bachelor's Pass,"Banking, Finance & Related Fields n.e.c.",Central Queensland University,Sydney NSW,Undergraduate
B Financial Planning,53.70,3 years,Bachelor's Pass,"Banking, Finance & Related Fields n.e.c.",Central Queensland University,Distance Ed,Undergraduate
B Financial Planning/B Account,N/A,4 years,Bachelor's Pass,"Banking, Finance & Related Fields n.e.c., Accounting (Detailed)",Central Queensland University,Brisbane QLD,Undergraduate
B Financial Planning/B Account,N/A,4 years,Bachelor's Pass,"Banking, Finance & Related Fields n.e.c., Accounting (Detailed)",Central Queensland University,Bundaberg QLD,Undergraduate
B Financial Planning/B Account,N/A,4 years,Bachelor's Pass,"Banking, Finance & Related Fields n.e.c., Accounting (Detailed)",Central Queensland University,Gladstone QLD,Undergraduate
B Financial Planning/B Account,N/A,4 years,Bachelor's Pass,"Banking, Finance & Related Fields n.e.c., Accounting (Detailed)",Central Queensland University,Mackay QLD,Undergraduate
B Financial Planning/B Account,N/A,4 years,Bachelor's Pass,"Banking, Finance & Related Fields n.e.c., Accounting (Detailed)",Central Queensland University,Melbourne VIC,Undergraduate
B Financial Planning/B Account,53.70,4 years,Bachelor's Pass,"Banking, Finance & Related Fields n.e.c., Accounting (Detailed)",Central Queensland University,Rockhampton QLD,Undergraduate
B Financial Planning/B Account,N/A,4 years,Bachelor's Pass,"Banking, Finance & Related Fields n.e.c., Accounting (Detailed)",Central Queensland University,Sydney NSW,Undergraduate
B Financial Planning/B Account,53.70,4 years,Bachelor's Pass,"Banking, Finance & Related Fields n.e.c., Accounting (Detailed)",Central Queensland University,Distance Ed,Undergraduate
B Food Technology,74.35,4 years,Bachelor's Pass,Food Science & Biotechnology,The University of Queensland,STLUCIA QLD,Undergraduate
B Global & Ocean Science(Hons),95.00,4 years,Bachelor's Honours,Natural & Physical Sciences n.e.c.,The Australian National University,Acton ACT,Undergraduate
B Health Promotion,59.85,3 years,Bachelor's Pass,Public health,Central Queensland University,Bundaberg QLD,Undergraduate
B Health Promotion,59.85,3 years,Bachelor's Pass,Public health,Central Queensland University,Distance Ed,Undergraduate
B Health Science (Allied Hlth),53.70,3 years,Bachelor's Pass,Health n.e.c.,Central Queensland University,Bundaberg QLD,Undergraduate
B Health Science (Allied Hlth),53.70,3 years,Bachelor's Pass,Health n.e.c.,Central Queensland University,Rockhampton QLD,Undergraduate
B Health Science (Allied Hlth),53.70,3 years,Bachelor's Pass,Health n.e.c.,Central Queensland University,Distance Ed,Undergraduate
B Health Science (Chiro),N/A,3 years,Bachelor's Pass,Chiropractic & Osteopathy,RMIT University,Bundoora Campus VIC,Undergraduate
B Health Science (Honours),N/A,1 year,Bachelor's Honours,Complimentary Therapies,RMIT University,Bundoora Campus VIC,Undergraduate
B Health Sciences,76.60,3 years,Bachelor's Pass,Health n.e.c.,The University of Queensland,IPSWICH QLD,Undergraduate
B Health Sciences (Health Promotion),76.60,3 years,Bachelor's Pass,Public Health n.e.c.,The University of Queensland,IPSWICH QLD,Undergraduate
B Health Sciences (Nutrition),76.60,3 years,Bachelor's Pass,Nutrition & Dietetics,The University of Queensland,STLUCIA QLD,Undergraduate
B Health Sciences (Nutrition),76.60,3 years,Bachelor's Pass,Nutrition & Dietetics,The University of Queensland,IPSWICH QLD,Undergraduate
B Health Sciences(Hons),N/A,1 year,Bachelor's Honours,Health n.e.c.,The University of Queensland,IPSWICH QLD,Undergraduate
B Health Sport Phys Ed,79.80,4 years,Bachelor's Pass,Curriculum & Education Studies,The University of Queensland,STLUCIA QLD,Undergraduate
B HealthSc/B AppSc (ChinMed),See details,5 years,Bachelor's Pass,"Health n.e.c., Traditional Chinese Medicine",RMIT University,Bundoora Campus VIC,Undergraduate
B HealthSc/B AppSc (Osteo),See details,5 years,Bachelor's Pass,"Health n.e.c., Chiropractic & Osteopathy",RMIT University,Bundoora Campus VIC,Undergraduate
B HealthSc/B AppSc(Chiro),See details,5 years,Bachelor's Pass,"Health n.e.c., Chiropractic & Osteopathy",RMIT University,Bundoora Campus VIC,Undergraduate
B HMSc (Hons),N/A,1 year,Bachelor's Honours,Human Movement,Central Queensland University,Rockhampton QLD,Undergraduate
B HMSc (Hons),N/A,1 year,Bachelor's Honours,Human Movement,Central Queensland University,Distance Ed,Undergraduate
B Hospitality Management,N/A,3 years,Bachelor's Pass,Hospitality Management,Central Queensland University,Brisbane QLD,Undergraduate
B Hospitality Management,N/A,3 years,Bachelor's Pass,Hospitality Management,Central Queensland University,Melbourne VIC,Undergraduate
B Hospitality Management,N/A,3 years,Bachelor's Pass,Hospitality Management,Central Queensland University,Rockhampton QLD,Undergraduate
B Hospitality Management,N/A,3 years,Bachelor's Pass,Hospitality Management,Central Queensland University,Sydney NSW,Undergraduate
B Hospitality Management,N/A,3 years,Bachelor's Pass,Hospitality Management,Central Queensland University,Distance Ed,Undergraduate
B Human Services,70.85,3 years,Bachelor's Pass,Welfare Studies,The University of Queensland,STLUCIA QLD,Undergraduate
B Human Services(Hons),N/A,1 year,Bachelor's Honours,Welfare Studies,The University of Queensland,STLUCIA QLD,Undergraduate
B HumanServices/BArts,76.60,4 years,Bachelor's Pass,Social Work,The University of Queensland,STLUCIA QLD,Undergraduate
B Info Tech (Comp & Int Tech),N/A,3 years,Bachelor's Pass,Computer Science,RMIT University,City Campus VIC,Undergraduate
B Info Tech (Co-op),79.80,3 years,Bachelor's Pass,Information Technology n.e.c.,Central Queensland University,Brisbane QLD,Undergraduate
B Info Tech (Co-op),79.80,3 years,Bachelor's Pass,Information Technology n.e.c.,Central Queensland University,Bundaberg QLD,Undergraduate
B Info Tech (Co-op),79.80,3 years,Bachelor's Pass,Information Technology n.e.c.,Central Queensland University,Mackay QLD,Undergraduate
B Info Tech (Co-op),79.80,3 years,Bachelor's Pass,Information Technology n.e.c.,Central Queensland University,Melbourne VIC,Undergraduate
B Info Tech (Co-op),79.80,3 years,Bachelor's Pass,Information Technology n.e.c.,Central Queensland University,Rockhampton QLD,Undergraduate
B Info Tech (Co-op),79.80,3 years,Bachelor's Pass,Information Technology n.e.c.,Central Queensland University,Sydney NSW,Undergraduate
B Info Tech (Co-op),79.80,3 years,Bachelor's Pass,Information Technology n.e.c.,Central Queensland University,Distance Ed,Undergraduate
B Information and Communications Technology/B Bus and Comm (Accounting),67.30,4 years,Bachelor's Pass,"Information Systems, Business & Management",University of Western Sydney,PARRAMATTA CAMPUS NSW,Undergraduate
B Information and Communications Technology/B Bus and Comm (Accounting),71.50,4 years,Bachelor's Pass,"Information Systems, Business & Management",University of Western Sydney,CAMPBELLTOWN CAMPUS NSW,Undergraduate
B Information and Communications Technology/B Business Technology,67.00,4 years,Bachelor's Pass,"Information Systems, Business & Management",University of Western Sydney,PARRAMATTA CAMPUS NSW,Undergraduate
B Information and Communications Technology/B Business Technology,68.15,4 years,Bachelor's Pass,"Information Systems, Business & Management",University of Western Sydney,CAMPBELLTOWN CAMPUS NSW,Undergraduate
B Information and Communications Technology/B Business Technology,N/A,4 years,Bachelor's Pass,"Information Systems, Business & Management",University of Western Sydney,Bankstown Campus NSW,Undergraduate
B Information Tech/BArts (4yr),76.60,4 years,Bachelor's Pass,"Information Technology, Society & Culture",The University of Queensland,STLUCIA QLD,Undergraduate
B Information Technology,53.70,3 years,Bachelor's Pass,Computer Science,Central Queensland University,Brisbane QLD,Undergraduate
B Information Technology,53.70,3 years,Bachelor's Pass,Computer Science,Central Queensland University,Bundaberg QLD,Undergraduate
B Information Technology,53.70,3 years,Bachelor's Pass,Computer Science,Central Queensland University,Gladstone QLD,Undergraduate
B Information Technology,53.70,3 years,Bachelor's Pass,Computer Science,Central Queensland University,Mackay QLD,Undergraduate
B Information Technology,53.70,3 years,Bachelor's Pass,Computer Science,Central Queensland University,Melbourne VIC,Undergraduate
B Information Technology,53.70,3 years,Bachelor's Pass,Computer Science,Central Queensland University,Rockhampton QLD,Undergraduate
B Information Technology,53.70,3 years,Bachelor's Pass,Computer Science,Central Queensland University,Sydney NSW,Undergraduate
B Information Technology,53.70,3 years,Bachelor's Pass,Computer Science,Central Queensland University,Distance Ed,Undergraduate
B Information Technology,See details,3 years,Bachelor's Pass,Other Information Technology,RMIT University,City Campus VIC,Undergraduate
B Information Technology,80.00,3 years,Bachelor's Pass,Information Technology,The Australian National University,Acton ACT,Undergraduate
B Information Technology (3yr),74.35,3 years,Bachelor's Pass,Information Technology,The University of Queensland,STLUCIA QLD,Undergraduate
B Information Technology (Hon),N/A,1 year,Bachelor's Honours,Information Technology,The University of Queensland,STLUCIA QLD,Undergraduate
B Information Technology (Honours),N/A,3 years,Bachelor's Honours,Information Technology n.e.c.,The Australian National University,Acton ACT,Undergraduate
B InfTech/BScience,76.60,4 years,Bachelor's Pass,"Information Technology, Natural & Physical Sciences n.e.c.",The University of Queensland,STLUCIA QLD,Undergraduate
B Interdisciplinary Stud(Sust),80.00,3 years,Bachelor's Pass,Environmental Studies n.e.c.,The Australian National University,Acton ACT,Undergraduate
B Interdisciplinary Stud(Sust) (Honours),N/A,3 years,Bachelor's Honours,Environmental Studies n.e.c.,The Australian National University,Acton ACT,Undergraduate
B International Business,86.00,3 years,Bachelor's Pass,International Business,The Australian National University,Acton ACT,Undergraduate
B International Business (Honours),N/A,3 years,Bachelor's Honours,International Business,The Australian National University,Acton ACT,Undergraduate
B International Hotel&TourMgmt,76.60,3 years,Bachelor's Pass,Tourism Management,The University of Queensland,STLUCIA QLD,Undergraduate
B International Studies,79.80,3 years,Bachelor's Pass,Society & Culture n.e.c.,The University of Queensland,STLUCIA QLD,Undergraduate
B International Studies (Hon),N/A,1 year,Bachelor's Honours,Society & Culture n.e.c.,The University of Queensland,STLUCIA QLD,Undergraduate
B International Studies (Hon) (Chinese),N/A,1 year,Bachelor's Honours,Eastern Asian Languages,The University of Queensland,STLUCIA QLD,Undergraduate
B International Studies (Hon) (Development),N/A,1 year,Bachelor's Honours,Society & Culture n.e.c.,The University of Queensland,STLUCIA QLD,Undergraduate
B International Studies (Hon) (French),N/A,1 year,Bachelor's Honours,Southern European Languages,The University of Queensland,STLUCIA QLD,Undergraduate
B International Studies (Hon) (German),N/A,1 year,Bachelor's Honours,Northern European Languages,The University of Queensland,STLUCIA QLD,Undergraduate
B International Studies (Hon) (History),N/A,1 year,Bachelor's Honours,History,The University of Queensland,STLUCIA QLD,Undergraduate
B International Studies (Hon) (Indonesian),N/A,1 year,Bachelor's Honours,Southeast Asian Languages,The University of Queensland,STLUCIA QLD,Undergraduate
B International Studies (Hon) (International Inequality & Dev),N/A,1 year,Bachelor's Honours,Policy Studies,The University of Queensland,STLUCIA QLD,Undergraduate
B International Studies (Hon) (International Relations),N/A,1 year,Bachelor's Honours,Political Science,The University of Queensland,STLUCIA QLD,Undergraduate
B International Studies (Hon) (Italian),N/A,1 year,Bachelor's Honours,Southern European Languages,The University of Queensland,STLUCIA QLD,Undergraduate
B International Studies (Hon) (Japanese),N/A,1 year,Bachelor's Honours,Eastern Asian Languages,The University of Queensland,STLUCIA QLD,Undergraduate
B International Studies (Hon) (Korean StrA),N/A,1 year,Bachelor's Honours,Eastern Asian Languages,The University of Queensland,STLUCIA QLD,Undergraduate
B International Studies (Hon) (Korean StrB),N/A,1 year,Bachelor's Honours,Eastern Asian Languages,The University of Queensland,STLUCIA QLD,Undergraduate
B International Studies (Hon) (Korean),N/A,1 year,Bachelor's Honours,Eastern Asian Languages,The University of Queensland,STLUCIA QLD,Undergraduate
B International Studies (Hon) (Peace and Conflict Studies),N/A,1 year,Bachelor's Honours,Studies in Human Society n.e.c.,The University of Queensland,STLUCIA QLD,Undergraduate
B International Studies (Hon) (Russian),N/A,1 year,Bachelor's Honours,Eastern European Languages,The University of Queensland,STLUCIA QLD,Undergraduate
B International Studies (Hon) (Spanish),N/A,1 year,Bachelor's Honours,Southern European Languages,The University of Queensland,STLUCIA QLD,Undergraduate
B Interntl Hotel&TourMgmt(Hon),N/A,1 year,Bachelor's Honours,Tourism Management,The University of Queensland,STLUCIA QLD,Undergraduate
B Journalism,79.80,3 years,Bachelor's Pass,Journalism,The University of Queensland,STLUCIA QLD,Undergraduate
B Journalism(Hons),N/A,1 year,Bachelor's Honours,Journalism,The University of Queensland,STLUCIA QLD,Undergraduate
B Journalism/BArts,79.80,4 years,Bachelor's Pass,"Journalism, Society & Culture",The University of Queensland,STLUCIA QLD,Undergraduate
B Journalism/BLaws,97.10,5.5 years,Bachelor's Pass,Journalism,The University of Queensland,STLUCIA QLD,Undergraduate
B Laws,74.35,3 years,Bachelor's Pass,Legal Practice,Central Queensland University,Distance Ed,Undergraduate
B Laws,97.10,4 years,Bachelor's Pass,Law,The University of Queensland,STLUCIA QLD,Undergraduate
B Laws & B Arts,74.35,5 years,Bachelor's Pass,"Legal Practice, Society & Culture",Central Queensland University,Distance Ed,Undergraduate
B Laws and B Acct,74.35,4.5 years,Bachelor's Pass,"Legal Practice, Accounting (Detailed)",Central Queensland University,Distance Ed,Undergraduate
B Laws(Graduate Entry),N/A,3 years,Bachelor's Graduate Entry,Law,The University of Queensland,STLUCIA QLD,Undergraduate
B Med Son and GD Med Son,85.05,4 years,Bachelor's Pass,Radiography (Detailed),Central Queensland University,Brisbane QLD,Undergraduate
B Med Son and GD Med Son,85.05,4 years,Bachelor's Pass,Radiography (Detailed),Central Queensland University,Mackay QLD,Undergraduate
B Med Son and GD Med Son,85.05,4 years,Bachelor's Pass,Radiography (Detailed),Central Queensland University,Melbourne VIC,Undergraduate
B Med Son and GD Med Son,85.05,4 years,Bachelor's Pass,Radiography (Detailed),Central Queensland University,Sydney NSW,Undergraduate
B Med Son and GD Med Son,N/A,4 years,Bachelor's Pass,Radiography (Detailed),Central Queensland University,Distance Ed,Undergraduate
B Media & Communication (Hons),N/A,1 year,Bachelor's Honours,Communication Studies,RMIT University,City Campus VIC,Undergraduate
B Medical Imaging,85.05,4 years,Bachelor's Pass,Radiography (Detailed),Central Queensland University,Mackay QLD,Undergraduate
B Medical Imaging,85.05,4 years,Bachelor's Pass,Radiography (Detailed),Central Queensland University,Distance Ed,Undergraduate
B Medical Science,68.45,3 years,Bachelor's Pass,Medical Science,Central Queensland University,Rockhampton QLD,Undergraduate
B Medical Science,68.45,3 years,Bachelor's Pass,Medical Science,Central Queensland University,Distance Ed,Undergraduate
B Medicine & B Surgery,N/A,4 years,Bachelor's Graduate Entry,General Medicine,The Australian National University,Acton ACT,Undergraduate
B Medicine/BSurgery-Grad Entry,N/A,4 years,Bachelor's Graduate Entry,Medical Studies,The University of Queensland,STLUCIA QLD,Undergraduate
B Medicine/BSurgery-Grad Entry,N/A,4 years,Bachelor's Graduate Entry,Medical Studies,The University of Queensland,IPSWICH QLD,Undergraduate
B Medicine/BSurgery-Grad Entry,N/A,4 years,Bachelor's Graduate Entry,Medical Studies,The University of Queensland,HERSTON QLD,Undergraduate
B Midwifery,85.05,3 years,Bachelor's Pass,Midwifery,The University of Queensland,IPSWICH QLD,Undergraduate
B Midwifery (Hon),N/A,1 year,Bachelor's Honours,Midwifery,The University of Queensland,IPSWICH QLD,Undergraduate
B Multimedia Design,74.35,3 years,Bachelor's Pass,Computer Science n.e.c.,The University of Queensland,STLUCIA QLD,Undergraduate
B Multimedia Design,74.35,3 years,Bachelor's Pass,Computer Science n.e.c.,The University of Queensland,IPSWICH QLD,Undergraduate
B Multimedia Design(Honours),N/A,1 year,Bachelor's Honours,Computer Science n.e.c.,The University of Queensland,IPSWICH QLD,Undergraduate
B Multimedia Studies,53.70,3 years,Bachelor's Pass,Communication & Media Studies n.e.c.,Central Queensland University,Brisbane QLD,Undergraduate
B Multimedia Studies,53.70,3 years,Bachelor's Pass,Communication & Media Studies n.e.c.,Central Queensland University,Bundaberg QLD,Undergraduate
B Multimedia Studies,N/A,3 years,Bachelor's Pass,Communication & Media Studies n.e.c.,Central Queensland University,Gladstone QLD,Undergraduate
B Multimedia Studies,N/A,3 years,Bachelor's Pass,Communication & Media Studies n.e.c.,Central Queensland University,Mackay QLD,Undergraduate
B Multimedia Studies,N/A,3 years,Bachelor's Pass,Communication & Media Studies n.e.c.,Central Queensland University,Melbourne VIC,Undergraduate
B Multimedia Studies,53.70,3 years,Bachelor's Pass,Communication & Media Studies n.e.c.,Central Queensland University,Pomona QLD,Undergraduate
B Multimedia Studies,53.70,3 years,Bachelor's Pass,Communication & Media Studies n.e.c.,Central Queensland University,Rockhampton QLD,Undergraduate
B Multimedia Studies,53.70,3 years,Bachelor's Pass,Communication & Media Studies n.e.c.,Central Queensland University,Sydney NSW,Undergraduate
B Multimedia Studies,53.70,3 years,Bachelor's Pass,Communication & Media Studies n.e.c.,Central Queensland University,Distance Ed,Undergraduate
B Music,N/A,3 years,Bachelor's Pass,Performing Arts,Central Queensland University,Bundaberg QLD,Undergraduate
B Music,N/A,3 years,Bachelor's Pass,Performing Arts,Central Queensland University,Mackay QLD,Undergraduate
B Music,N/A,3 years,Bachelor's Pass,Performing Arts,Central Queensland University,Pomona QLD,Undergraduate
B Music,N/A,3 years,Bachelor's Pass,Performing Arts,Central Queensland University,Rockhampton QLD,Undergraduate
B Music,N/A,3 years,Bachelor's Pass,Performing Arts,Central Queensland University,Distance Ed,Undergraduate
B Music,N/A,4 years,Bachelor's Pass,Music,The University of Queensland,STLUCIA QLD,Undergraduate
B Music (Composition and Musicology),N/A,4 years,Bachelor's Pass,Music,The University of Queensland,STLUCIA QLD,Undergraduate
B Music (Composition),N/A,4 years,Bachelor's Pass,Music,The University of Queensland,STLUCIA QLD,Undergraduate
B Music (Music Performance),N/A,4 years,Bachelor's Pass,Music,The University of Queensland,STLUCIA QLD,Undergraduate
B Music (Musicology),N/A,4 years,Bachelor's Pass,Music,The University of Queensland,STLUCIA QLD,Undergraduate
B Music (Performance and Musicology),N/A,4 years,Bachelor's Pass,Music,The University of Queensland,STLUCIA QLD,Undergraduate
B Music/BArts,N/A,5 years,Bachelor's Pass,"Music, Society & Culture",The University of Queensland,STLUCIA QLD,Undergraduate
B Music/BArts (Composition - BMus),N/A,5 years,Bachelor's Pass,"Music, Society & Culture",The University of Queensland,STLUCIA QLD,Undergraduate
B Music/BArts (Instrumental & VoicePed - BMus),N/A,5 years,Bachelor's Pass,"Music, Society & Culture",The University of Queensland,STLUCIA QLD,Undergraduate
"B Music/BArts (Media, Comm & Cultural Studies)",N/A,5 years,Bachelor's Pass,"Communication Studies, Society & Culture",The University of Queensland,STLUCIA QLD,Undergraduate
"B Music/BArts (Media, Comm & Cultural Studies)",N/A,5 years,Bachelor's Pass,"Communication Studies, Society & Culture",The University of Queensland,STLUCIA QLD,Undergraduate
"B Music/BArts (Media,Comm&CulturalStudies -BA)",N/A,5 years,Bachelor's Pass,"Communication Studies, Society & Culture",The University of Queensland,STLUCIA QLD,Undergraduate
B Music/BArts (Music Performance - BMus),N/A,5 years,Bachelor's Pass,"Music, Society & Culture",The University of Queensland,STLUCIA QLD,Undergraduate
B Music/BArts (Music Therapy - BMus),N/A,5 years,Bachelor's Pass,"Music, Society & Culture",The University of Queensland,STLUCIA QLD,Undergraduate
B Music/BArts (Musicology - BMus),N/A,5 years,Bachelor's Pass,"Music, Society & Culture",The University of Queensland,STLUCIA QLD,Undergraduate
B Music/BEducation(Sec),N/A,5 years,Bachelor's Pass,"Music, Teacher Education",The University of Queensland,STLUCIA QLD,Undergraduate
B Nursing,59.85,3 years,Bachelor's Pass,General Nursing,Central Queensland University,Bundaberg QLD,Undergraduate
B Nursing,59.85,3 years,Bachelor's Pass,General Nursing,Central Queensland University,Mackay QLD,Undergraduate
B Nursing,N/A,3 years,Bachelor's Pass,General Nursing,Central Queensland University,Pomona QLD,Undergraduate
B Nursing,59.85,3 years,Bachelor's Pass,General Nursing,Central Queensland University,Rockhampton QLD,Undergraduate
B Nursing,59.85,3 years,Bachelor's Pass,General Nursing,Central Queensland University,Distance Ed,Undergraduate
B Nursing,81.95,3 years,Bachelor's Pass,Nursing,The University of Queensland,IPSWICH QLD,Undergraduate
B Nursing(Honours),N/A,1 year,Bachelor's Honours,Nursing,The University of Queensland,IPSWICH QLD,Undergraduate
B Nursing/B Midwifery,85.05,4 years,Bachelor's Pass,"General Nursing, Midwifery",The University of Queensland,IPSWICH QLD,Undergraduate
B Occupational Health & Safety,59.85,3 years,Bachelor's Pass,Occupational Health & Safety,Central Queensland University,Bundaberg QLD,Undergraduate
B Occupational Health & Safety,N/A,3 years,Bachelor's Pass,Occupational Health & Safety,Central Queensland University,Mackay QLD,Undergraduate
B Occupational Health & Safety,59.85,3 years,Bachelor's Pass,Occupational Health & Safety,Central Queensland University,Rockhampton QLD,Undergraduate
B Occupational Health & Safety,59.85,3 years,Bachelor's Pass,Occupational Health & Safety,Central Queensland University,Distance Ed,Undergraduate
B Occupational Therapy,59.85,4 years,Bachelor's Pass,Occupational Therapy,Central Queensland University,Bundaberg QLD,Undergraduate
B Occupational Therapy,59.85,4 years,Bachelor's Pass,Occupational Therapy,Central Queensland University,Rockhampton QLD,Undergraduate
B Occupational Therapy,94.15,4 years,Bachelor's Pass,Occupational Therapy,The University of Queensland,STLUCIA QLD,Undergraduate
B of Advanced Computing (R&D) (Advanced Computing (R&D) (Hon)),98.00,4 years,Bachelor's Honours,Information Technology,The Australian National University,Acton ACT,Undergraduate
B of Design (Digital Media),N/A,3 years,Bachelor's Pass,Communication & Media Studies n.e.c.,RMIT University,City Campus VIC,Undergraduate
B of Environmental Studies,80.00,3 years,Bachelor's Pass,Environmental Studies n.e.c.,The Australian National University,Acton ACT,Undergraduate
B of International Relations,89.00,3 years,Bachelor's Pass,Political Science,The Australian National University,Acton ACT,Undergraduate
B of Latin American Studies,80.00,3 years,Bachelor's Pass,Political Science,The Australian National University,Acton ACT,Undergraduate
B of Mid East & Cent Asian Std,80.00,3 years,Bachelor's Pass,Political Science,The Australian National University,Acton ACT,Undergraduate
"B of Politics, Phil and Ecnmcs",96.00,3 years,Bachelor's Pass,Society & Culture n.e.c.,The Australian National University,Acton ACT,Undergraduate
"B of Politics, Phil and Ecnmcs (B Pol, Phil & Ecn/Juris Doctor)",96.00,3 years,Bachelor's Pass,Society & Culture n.e.c.,The Australian National University,Acton ACT,Undergraduate
"B of Politics, Phil and Ecnmcs (BPPE (Hons))",N/A,3 years,Bachelor's Honours,Society & Culture n.e.c.,The Australian National University,Acton ACT,Undergraduate
B Oral Health,79.80,3 years,Bachelor's Pass,Dental Studies nec,Central Queensland University,Rockhampton QLD,Undergraduate
B Oral Health,N/A,3 years,Bachelor's Pass,Dental Studies nec,Central Queensland University,Distance Ed,Undergraduate
B Oral Health,97.10,3 years,Bachelor's Pass,Dental Studies nec,The University of Queensland,STLUCIA QLD,Undergraduate
B Oral Health,97.10,3 years,Bachelor's Pass,Dental Studies nec,The University of Queensland,HERSTON QLD,Undergraduate
B Oral Health (Hons),N/A,1 year,Bachelor's Honours,Dental Studies nec,The University of Queensland,STLUCIA QLD,Undergraduate
B Oral Health (Hons),N/A,1 year,Bachelor's Honours,Dental Studies nec,The University of Queensland,HERSTON QLD,Undergraduate
B Paramedic Science,68.45,3 years,Bachelor's Pass,Paramedical Studies,Central Queensland University,Rockhampton QLD,Undergraduate
B Paramedic Science,68.45,3 years,Bachelor's Pass,Paramedical Studies,Central Queensland University,Distance Ed,Undergraduate
B Paramedic Science,74.35,3 years,Bachelor's Pass,Paramedical Studies,The University of Queensland,IPSWICH QLD,Undergraduate
B Paramedic Science(Honours),N/A,1 year,Bachelor's Honours,Paramedical Studies,The University of Queensland,IPSWICH QLD,Undergraduate
B Pharmacy,79.80,4 years,Bachelor's Pass,Pharmacy (Detailed),The University of Queensland,STLUCIA QLD,Undergraduate
B Physiotherapy,85.05,4 years,Bachelor's Pass,Physiotherapy,Central Queensland University,Bundaberg QLD,Undergraduate
B Physiotherapy,85.05,4 years,Bachelor's Pass,Physiotherapy,Central Queensland University,Rockhampton QLD,Undergraduate
B Physiotherapy,97.10,4 years,Bachelor's Pass,Physiotherapy,The University of Queensland,STLUCIA QLD,Undergraduate
B Podiatry (Hons),N/A,4 years,Bachelor's Honours,Podiatry,Central Queensland University,Rockhampton QLD,Undergraduate
B Podiatry Practice,75.35,4 years,Bachelor's Pass,Podiatry,Central Queensland University,Rockhampton QLD,Undergraduate
B Prof Communication,N/A,3 years,Bachelor's Pass,Communication & Media Studies n.e.c.,Central Queensland University,Brisbane QLD,Undergraduate
B Prof Communication,53.70,3 years,Bachelor's Pass,Communication & Media Studies n.e.c.,Central Queensland University,Bundaberg QLD,Undergraduate
B Prof Communication,N/A,3 years,Bachelor's Pass,Communication & Media Studies n.e.c.,Central Queensland University,Gladstone QLD,Undergraduate
B Prof Communication,N/A,3 years,Bachelor's Pass,Communication & Media Studies n.e.c.,Central Queensland University,Mackay QLD,Undergraduate
B Prof Communication,53.70,3 years,Bachelor's Pass,Communication & Media Studies n.e.c.,Central Queensland University,Melbourne VIC,Undergraduate
B Prof Communication,N/A,3 years,Bachelor's Pass,Communication & Media Studies n.e.c.,Central Queensland University,Rockhampton QLD,Undergraduate
B Prof Communication,N/A,3 years,Bachelor's Pass,Communication & Media Studies n.e.c.,Central Queensland University,Sydney NSW,Undergraduate
B Prof Communication,53.70,3 years,Bachelor's Pass,Communication & Media Studies n.e.c.,Central Queensland University,Distance Ed,Undergraduate
B Property,53.70,3 years,Bachelor's Pass,Valuation,Central Queensland University,Distance Ed,Undergraduate
B Psychological Science,92.20,4 years,Bachelor's Pass,Psychology,The University of Queensland,STLUCIA QLD,Undergraduate
B Psychology,59.85,4 years,Bachelor's Pass,Psychology,Central Queensland University,Bundaberg QLD,Undergraduate
B Psychology,59.85,4 years,Bachelor's Pass,Psychology,Central Queensland University,Rockhampton QLD,Undergraduate
B Psychology,59.85,4 years,Bachelor's Pass,Psychology,Central Queensland University,Distance Ed,Undergraduate
B Regional & Town Planning,74.35,4 years,Bachelor's Pass,Urban Design & Regional Planning,The University of Queensland,STLUCIA QLD,Undergraduate
B Sc (AppSc)/B Bus(Management),N/A,4 years,Bachelor's Pass,"Other Natural & Physical Sciences, Business Management",RMIT University,City Campus VIC,Undergraduate
B Sc (Food Tech & Nutrition),See details,3 years,Bachelor's Pass,Food Science & Biotechnology,RMIT University,City Campus VIC,Undergraduate
B Sc (Geospatial Science),See details,4 years,Bachelor's Pass,Surveying,RMIT University,City Campus VIC,Undergraduate
